"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"YTWA",NA,"Yellow-throated Warbler","Setophaga dominica","SETDOM",NA,"yellow throated warbler"
NA,"BAHW","*","Bahama Warbler","Setophaga flavescens","SETFLA",NA,"bahama warbler"
NA,"VITW","*","Vitelline Warbler","Setophaga vitellina","SETVIT",NA,"vitelline warbler"
NA,"PRAW","*","Prairie Warbler","Setophaga discolor","SETDIS",NA,"prairie warbler"
NA,"ADWA",NA,"Adelaide's Warbler","Setophaga adelaidae","SETADE",NA,"adelaides warbler"
NA,"BARW","*","Barbuda Warbler","Setophaga subita","SETSUB",NA,"barbuda warbler"
NA,"SLWA",NA,"St. Lucia Warbler","Setophaga delicata","SETDEL",NA,"st. lucia warbler"
NA,"GRWA",NA,"Grace's Warbler","Setophaga graciae","SETGRA",NA,"graces warbler"
NA,"BTYW","*","Black-throated Gray Warbler","Setophaga nigrescens","SETNIG",NA,"black throated gray warbler"
NA,"TOWA",NA,"Townsend's Warbler","Setophaga townsendi","SETTOW",NA,"townsends warbler"
"+","THWH",NA,"Townsend's x Hermit Warbler Hybrid","Setophaga townsendi x occidentalis","SETTOO",NA,"townsends x hermit warbler hybrid"
NA,"HEWA",NA,"Hermit Warbler","Setophaga occidentalis","SETOCC",NA,"hermit warbler"
NA,"GCWA",NA,"Golden-cheeked Warbler","Setophaga chrysoparia","SETCHR",NA,"golden cheeked warbler"
NA,"BTNW","*","Black-throated Green Warbler","Setophaga virens","SETVIR",NA,"black throated green warbler"
NA,"BURW","*","Buff-rumped Warbler","Myiothlypis fulvicauda","MYIFUL",NA,"buff rumped warbler"
NA,"FTWA",NA,"Fan-tailed Warbler","Basileuterus lachrymosus","BASLAC",NA,"fan tailed warbler"
NA,"RCWA",NA,"Rufous-capped Warbler","Basileuterus rufifrons","BASRUF",NA,"rufous capped warbler"
NA,"BCWA",NA,"Black-cheeked Warbler","Basileuterus melanogenys","BASMEG","*","black cheeked warbler"
NA,"PIRW","*","Pirre Warbler","Basileuterus ignotus","BASIGN",NA,"pirre warbler"
NA,"GBWA",NA,"Golden-browed Warbler","Basileuterus belli","BASBEL",NA,"golden browed warbler"
NA,"GCRW","*","Golden-crowned Warbler","Basileuterus culicivorus","BASCUL",NA,"golden crowned warbler"
NA,"CRWA",NA,"Costa Rican Warbler","Basileuterus melanotis","BASMET","*","costa rican warbler"
NA,"TAWA",NA,"Tacarcuna Warbler","Basileuterus tacarcunae","BASTAC",NA,"tacarcuna warbler"
NA,"CAWA",NA,"Canada Warbler","Cardellina canadensis","CADCAN",NA,"canada warbler"
NA,"WIWA",NA,"Wilson's Warbler","Cardellina pusilla","CARPUS",NA,"wilsons warbler"
NA,"RFWA",NA,"Red-faced Warbler","Cardellina rubrifrons","CARRUF","*","red faced warbler"
NA,"REWA",NA,"Red Warbler","Cardellina rubra","CARRUA","*","red warbler"
NA,"PHWA",NA,"Pink-headed Warbler","Cardellina versicolor","CARVER",NA,"pink headed warbler"
NA,"PARE",NA,"Painted Redstart","Myioborus pictus","MYIPIC",NA,"painted redstart"
NA,"STRE",NA,"Slate-throated Redstart","Myioborus miniatus","MYIMIN",NA,"slate throated redstart"
NA,"COLR","*","Collared Redstart","Myioborus torquatus","MYITOR",NA,"collared redstart"
"+","UNWA",NA,"Unidentified Warbler","Parulidae (gen, sp)","PARGSP",NA,"unidentified warbler"
NA,"DFTA",NA,"Dusky-faced Tanager","Mitrospingus cassinii","MITCAS",NA,"dusky faced tanager"
NA,"RTTA",NA,"Rose-throated Tanager","Piranga roseogularis","PIRROS",NA,"rose throated tanager"
NA,"HETA",NA,"Hepatic Tanager","Piranga flava","PIRFLA",NA,"hepatic tanager"
NA,"SUTA",NA,"Summer Tanager","Piranga rubra","PIRRUB",NA,"summer tanager"
NA,"SCTA",NA,"Scarlet Tanager","Piranga olivacea","PIROLI",NA,"scarlet tanager"
NA,"WETA",NA,"Western Tanager","Piranga ludoviciana","PIRLUD",NA,"western tanager"
NA,"FCTA",NA,"Flame-colored Tanager","Piranga bidentata","PIRBID",NA,"flame colored tanager"
NA,"WWTA",NA,"White-winged Tanager","Piranga leucoptera","PIRLEU",NA,"white winged tanager"
NA,"RHTA",NA,"Red-headed Tanager","Piranga erythrocephala","PIRERY",NA,"red headed tanager"
"+","UPTA",NA,"Unidentified Piranga Tanager","Piranga (sp)","PIRSPE",NA,"unidentified piranga tanager"
NA,"RCAT",NA,"Red-crowned Ant-Tanager","Habia rubica","HABRUB",NA,"red crowned ant tanager"
NA,"RTAT",NA,"Red-throated Ant-Tanager","Habia fuscicauda","HABFUS",NA,"red throated ant tanager"
NA,"BCAT",NA,"Black-cheeked Ant-Tanager","Habia atrimaxillaris","HABATR",NA,"black cheeked ant tanager"
NA,"CATA",NA,"Carmiol's Tanager","Chlorothraupis carmioli","CHLCAR",NA,"carmiols tanager"
NA,"LSTA",NA,"Lemon-spectacled Tanager","Chlorothraupis olivacea","CHLOLI",NA,"lemon spectacled tanager"
NA,"BFAG","*","Black-faced Grosbeak","Caryothraustes poliogaster","CARPOL",NA,"black faced grosbeak"
NA,"YGGR",NA,"Yellow-green Grosbeak","Caryothraustes canadensis","CATCAN",NA,"yellow green grosbeak"
NA,"CCGR",NA,"Crimson-collared Grosbeak","Rhodothraupis celaeno","RHOCEL",NA,"crimson collared grosbeak"
NA,"NOCA",NA,"Northern Cardinal","Cardinalis cardinalis","CARCAI","*","northern cardinal"
NA,"PYRR",NA,"Pyrrhuloxia","Cardinalis sinuatus","CARSIN",NA,"pyrrhuloxia"
NA,"YEGR",NA,"Yellow Grosbeak","Pheucticus chrysopeplus","PHECHR",NA,"yellow grosbeak"
NA,"BTGG","*","Black-thighed Grosbeak","Pheucticus tibialis","PHETIB",NA,"black thighed grosbeak"
NA,"RBGR",NA,"Rose-breasted Grosbeak","Pheucticus ludovicianus","PHELUD",NA,"rose breasted grosbeak"
NA,"BHGR",NA,"Black-headed Grosbeak","Pheucticus melanocephalus","PHEMEL",NA,"black headed grosbeak"
NA,"RBRC","*","Red-breasted Chat","Granatellus venustus","GRAVEN",NA,"red breasted chat"
NA,"GTCH",NA,"Gray-throated Chat","Granatellus sallaei","GRASAL",NA,"gray throated chat"
NA,"BLSE",NA,"Blue Seedeater","Amaurospiza concolor","AMSCON","*","blue seedeater"
NA,"BGRO","*","Blue-black Grosbeak","Cyanocompsa cyanoides","CYACYD","*","blue black grosbeak"
NA,"BLBU",NA,"Blue Bunting","Cyanocompsa parellina","CYAPAR",NA,"blue bunting"
NA,"BLGR",NA,"Blue Grosbeak","Passerina caerulea","PASCAE",NA,"blue grosbeak"
NA,"LAZB","*","Lazuli Bunting","Passerina amoena","PASAMO",NA,"lazuli bunting"
"+","LIBH",NA,"Lazuli x Indigo Bunting Hybrid","Passerina amoena x cyanea","PASAMC",NA,"lazuli x indigo bunting hybrid"
NA,"INBU",NA,"Indigo Bunting","Passerina cyanea","PASCYA",NA,"indigo bunting"
NA,"RBBU",NA,"Rose-bellied Bunting","Passerina rositae","PASROS",NA,"rose bellied bunting"
NA,"OBBU",NA,"Orange-breasted Bunting","Passerina leclancherii","PASLEC",NA,"orange breasted bunting"
NA,"VABU",NA,"Varied Bunting","Passerina versicolor","PASVER",NA,"varied bunting"
NA,"PABU",NA,"Painted Bunting","Passerina ciris","PASCIR",NA,"painted bunting"
NA,"DICK",NA,"Dickcissel","Spiza americana","SPIAME",NA,"dickcissel"
NA,"BAGT",NA,"Blue-and-gold Tanager","Bangsia arcaei","BANARC",NA,"blue and gold tanager"
NA,"RCCA",NA,"Red-crested Cardinal","Paroaria coronata","PARCOR",NA,"red crested cardinal"
NA,"YBCA",NA,"Yellow-billed Cardinal","Paroaria capitata","PARCAP",NA,"yellow billed cardinal"
NA,"BGTA",NA,"Blue-gray Tanager","Thraupis episcopus","THREPI",NA,"blue gray tanager"
NA,"YWTA",NA,"Yellow-winged Tanager","Thraupis abbas","THRABB",NA,"yellow winged tanager"
NA,"PATA",NA,"Palm Tanager","Thraupis palmarum","THRPAL",NA,"palm tanager"
NA,"GAGT",NA,"Gray-and-gold Tanager","Tangara palmeri","TANPAL",NA,"gray and gold tanager"
NA,"ARTA",NA,"Azure-rumped Tanager","Tangara cabanisi","TANCAB",NA,"azure rumped tanager"
NA,"LATA",NA,"Lesser Antillean Tanager","Tangara cucullata","TANCUC",NA,"lesser antillean tanager"
NA,"GHOT","*","Golden-hooded Tanager","Tangara larvata","TANLAR",NA,"golden hooded tanager"
NA,"SPTA",NA,"Speckled Tanager","Tangara guttata","TANGUT",NA,"speckled tanager"
NA,"GNTA",NA,"Green-naped Tanager","Tangara fucosa","TANFUC",NA,"green naped tanager"
NA,"SCHT","*","Spangle-cheeked Tanager","Tangara dowii","TANDOW",NA,"spangle cheeked tanager"
NA,"PCTA",NA,"Plain-colored Tanager","Tangara inornata","TANINO",NA,"plain colored tanager"
NA,"RWTA",NA,"Rufous-winged Tanager","Tangara lavinia","TANLAV",NA,"rufous winged tanager"
NA,"BHTA",NA,"Bay-headed Tanager","Tangara gyrola","TANGYR",NA,"bay headed tanager"
NA,"EMTA",NA,"Emerald Tanager","Tangara florida","TANFLO",NA,"emerald tanager"
NA,"STTA",NA,"Silver-throated Tanager","Tangara icterocephala","TANICT",NA,"silver throated tanager"
NA,"WECO",NA,"White-eared Conebill","Conirostrum leucogenys","CONLEU",NA,"white eared conebill"
NA,"SAFI",NA,"Saffron Finch","Sicalis flaveola","SICFLA",NA,"saffron finch"
NA,"GRYF",NA,"Grassland Yellow-Finch","Sicalis luteola","SICLUT",NA,"grassland yellow finch"
NA,"SLFI",NA,"Slaty Finch","Haplospiza rustica","HAPRUS",NA,"slaty finch"
NA,"PBFI",NA,"Peg-billed Finch","Acanthidops bairdi","ACABAI",NA,"peg billed finch"
NA,"CBFL",NA,"Cinnamon-bellied Flowerpiercer","Diglossa baritula","DIGBAR",NA,"cinnamon bellied flowerpiercer"
NA,"SLFL",NA,"Slaty Flowerpiercer","Diglossa plumbea","DIGPLU",NA,"slaty flowerpiercer"
NA,"GRHO",NA,"Green Honeycreeper","Chlorophanes spiza","CHLSPI",NA,"green honeycreeper"
NA,"BAYT",NA,"Black-and-yellow Tanager","Chrysothlypis chrysomelas","CHRCHR",NA,"black and yellow tanager"
NA,"SURT","*","Sulphur-rumped Tanager","Heterospingus rubrifrons","HETRUB",NA,"sulphur rumped tanager"
NA,"SBTA",NA,"Scarlet-browed Tanager","Heterospingus xanthopygius","HETXAN",NA,"scarlet browed tanager"
NA,"YBTA",NA,"Yellow-backed Tanager","Hemithraupis flavicollis","HEMFLA",NA,"yellow backed tanager"
NA,"BGRA","*","Blue-black Grassquit","Volatinia jacarina","VOLJAC",NA,"blue black grassquit"
NA,"GHET","*","Gray-headed Tanager","Eucometis penicillata","EUCPEN",NA,"gray headed tanager"
NA,"WSTA",NA,"White-shouldered Tanager","Tachyphonus luctuosus","TACLUC",NA,"white shouldered tanager"
NA,"TCTA",NA,"Tawny-crested Tanager","Tachyphonus delatrii","TACDEL",NA,"tawny crested tanager"
NA,"WLTA",NA,"White-lined Tanager","Tachyphonus rufus","TACRUF",NA,"white lined tanager"
NA,"BTST",NA,"Black-throated Shrike-Tanager","Lanio aurantius","LANAUR",NA,"black throated shrike tanager"
NA,"WTST",NA,"White-throated Shrike-Tanager","Lanio leucothorax","LANLEU",NA,"white throated shrike tanager"
NA,"CCTA",NA,"Crimson-collared Tanager","Ramphocelus sanguinolentus","RAMSAN",NA,"crimson collared tanager"
NA,"FRTA",NA,"Flame-rumped Tanager","Ramphocelus flammigerus","RAMFLA",NA,"flame rumped tanager"
NA,"SCRT","*","Scarlet-rumped Tanager","Ramphocelus passerinii","RAMPAS",NA,"scarlet rumped tanager"
NA,"CBTA",NA,"Crimson-backed Tanager","Ramphocelus dimidiatus","RAMDIM",NA,"crimson backed tanager"
NA,"SWTA",NA,"Swallow Tanager","Tersina viridis","TERVIR",NA,"swallow tanager"
NA,"SHHO",NA,"Shining Honeycreeper","Cyanerpes lucidus","CYALUC",NA,"shining honeycreeper"
NA,"PUHO",NA,"Purple Honeycreeper","Cyanerpes caeruleus","CYACAE",NA,"purple honeycreeper"
NA,"RLHO",NA,"Red-legged Honeycreeper","Cyanerpes cyaneus","CYACYU","*","red legged honeycreeper"
NA,"STDA",NA,"Scarlet-thighed Dacnis","Dacnis venusta","DACVEN",NA,"scarlet thighed dacnis"
